image,expected,variant,model,preprocess,predicted,confidence,correct,detections,inference_ms
other_rics/IMG20220601164856.jpg,other,other_rics,yolov8,baseline,none,0.0,True,[],59.11
other_rics/IMG20220601164856.jpg,other,other_rics,ric1-v5,baseline,none,0.0,True,[],43.2
other_rics/IMG20220601164856.jpg,other,other_rics,ric5-v1,baseline,none,0.0,True,[],43.37
other_rics/IMG20220601164856.jpg,other,other_rics,ric1-ric5-v6,baseline,none,0.0,True,[],39.68
other_rics/IMG20220601164856.jpg,other,other_rics,yolov8,clahe,cat,0.2581,True,"[{""label"": ""cat"", ""confidence"": 0.2581336498260498, ""bbox"": [40, 37, 351, 276]}]",43.16
other_rics/IMG20220601164856.jpg,other,other_rics,ric1-v5,clahe,none,0.0,True,[],41.52
other_rics/IMG20220601164856.jpg,other,other_rics,ric5-v1,clahe,none,0.0,True,[],40.39
other_rics/IMG20220601164856.jpg,other,other_rics,ric1-ric5-v6,clahe,none,0.0,True,[],40.54
other_rics/IMG20220601164856.jpg,other,other_rics,yolov8,canny,none,0.0,True,[],44.16
other_rics/IMG20220601164856.jpg,other,other_rics,ric1-v5,canny,none,0.0,True,[],41.52
other_rics/IMG20220601164856.jpg,other,other_rics,ric5-v1,canny,none,0.0,True,[],40.81
other_rics/IMG20220601164856.jpg,other,other_rics,ric1-ric5-v6,canny,none,0.0,True,[],41.05
other_rics/IMG20220601164856.jpg,other,other_rics,yolov8,clahe_canny,none,0.0,True,[],43.08
other_rics/IMG20220601164856.jpg,other,other_rics,ric1-v5,clahe_canny,none,0.0,True,[],40.48
other_rics/IMG20220601164856.jpg,other,other_rics,ric5-v1,clahe_canny,pp5,0.5183,False,"[{""label"": ""pp5"", ""confidence"": 0.5183393359184265, ""bbox"": [251, 0, 340, 55]}]",40.64
other_rics/IMG20220601164856.jpg,other,other_rics,ric1-ric5-v6,clahe_canny,none,0.0,True,[],41.06
other_rics/IMG20220602103227.jpg,other,other_rics,yolov8,baseline,person,0.6182,True,"[{""label"": ""person"", ""confidence"": 0.6181836128234863, ""bbox"": [44, 182, 205, 386]}, {""label"": ""person"", ""confidence"": 0.2858401834964752, ""bbox"": [205, 151, 386, 348]}]",42.3
other_rics/IMG20220602103227.jpg,other,other_rics,ric1-v5,baseline,none,0.0,True,[],40.51
other_rics/IMG20220602103227.jpg,other,other_rics,ric5-v1,baseline,none,0.0,True,[],41.67
other_rics/IMG20220602103227.jpg,other,other_rics,ric1-ric5-v6,baseline,none,0.0,True,[],40.5
other_rics/IMG20220602103227.jpg,other,other_rics,yolov8,clahe,none,0.0,True,[],43.7
other_rics/IMG20220602103227.jpg,other,other_rics,ric1-v5,clahe,pet1,0.3821,False,"[{""label"": ""pet1"", ""confidence"": 0.38211286067962646, ""bbox"": [265, 8, 291, 38]}]",42.57
other_rics/IMG20220602103227.jpg,other,other_rics,ric5-v1,clahe,none,0.0,True,[],48.31
other_rics/IMG20220602103227.jpg,other,other_rics,ric1-ric5-v6,clahe,none,0.0,True,[],43.1
other_rics/IMG20220602103227.jpg,other,other_rics,yolov8,canny,none,0.0,True,[],47.48
other_rics/IMG20220602103227.jpg,other,other_rics,ric1-v5,canny,none,0.0,True,[],47.01
other_rics/IMG20220602103227.jpg,other,other_rics,ric5-v1,canny,none,0.0,True,[],42.04
other_rics/IMG20220602103227.jpg,other,other_rics,ric1-ric5-v6,canny,none,0.0,True,[],41.44
other_rics/IMG20220602103227.jpg,other,other_rics,yolov8,clahe_canny,none,0.0,True,[],42.66
